transformations,scoring_function,auroc,true_positive_rate,false_positive_rate,true_positives,true_negatives,false_positives,false_negatives
"GMM(layer=17, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.8200,0.4792,0.1208,211,115,125,29
"GMM(layer=20, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.8174,0.4875,0.1125,213,117,123,27
"GMM(layer=15, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.8142,0.4750,0.1250,210,114,126,30
"GMM(layer=21, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.8119,0.4792,0.1208,211,115,125,29
"GMM(layer=13, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7981,0.4500,0.1500,204,108,132,36
"GMM(layer=19, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7949,0.4625,0.1375,207,111,129,33
"GMM(layer=10, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7943,0.4708,0.1292,209,113,127,31
"GMM(layer=14, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7866,0.4667,0.1333,208,112,128,32
"GMM(layer=22, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7649,0.4542,0.1458,205,109,131,35
"GMM(layer=18, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7560,0.4167,0.1833,196,100,140,44
"GMM(layer=12, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7522,0.4375,0.1625,201,105,135,39
"GMM(layer=7, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7438,0.4125,0.1875,195,99,141,45
"GMM(layer=8, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7433,0.4292,0.1708,199,103,137,41
"GMM(layer=9, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7290,0.4083,0.1917,194,98,142,46
"GMM(layer=11, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7281,0.4250,0.1750,198,102,138,42
"GMM(layer=16, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7261,0.3792,0.2208,187,91,149,53
"GMM(layer=24, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7246,0.4083,0.1917,194,98,142,46
"GMM(layer=3, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7192,0.3875,0.2125,189,93,147,51
"GMM(layer=4, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7189,0.3875,0.2125,189,93,147,51
"GMM(layer=6, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7172,0.4000,0.2000,192,96,144,48
"GMM(layer=20, n_components=4, pca_components=50,diagonal_cov=True)",identity,0.7098,0.4125,0.1875,195,99,141,45
"GMM(layer=12, n_components=4, pca_components=50,diagonal_cov=True)",identity,0.7096,0.3917,0.2083,190,94,146,50
"GMM(layer=23, n_components=4, pca_components=50,diagonal_cov=False)",identity,0.7076,0.3875,0.2125,189,93,147,51
"GMM(layer=13, n_components=4, pca_components=50,diagonal_cov=True)",identity,0.7047,0.3792,0.2208,187,91,149,53
"GMM(layer=18, n_components=4, pca_components=50,diagonal_cov=True)",identity,0.6999,0.4000,0.2000,192,96,144,48
